date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:37	378/378	---MCZ	200	added ('OK')	text/plain	etag:cacheable:fa0a5ed414e7a450cc86922bedc4b298	https://ap-cogen.myshopify.com/robots.txt		(from )
11:04:39	237847/237847	---MCZ	200	added ('OK')	text/html	etag:cacheable:1b1aea8bc8f5a9b7d6ea84e872cec546	https://ap-cogen.myshopify.com/	C:/Users/m.nageh/Desktop/Lamp/l/ap-cogen.myshopify.com/index.html	(from )
11:04:40	111076/111076	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:04884cb205f053fb2b73843415722c20	https://ap-cogen.myshopify.com/ap-cogen.myshopify.com	C:/Users/m.nageh/Desktop/Lamp/l/ap-cogen.myshopify.com/ap-cogen.myshopify.com	(from https://ap-cogen.myshopify.com/)
11:04:42	815/815	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Feb%202019%2009:08:55%20GMT	http://cdn.shopify.com/s/files/1/1413/8964/t/2/assets/favicon.png?11551716603812328910	C:/Users/m.nageh/Desktop/Lamp/l/cdn.shopify.com/s/files/1/1413/8964/t/2/assets/faviconb457.png	(from https://ap-cogen.myshopify.com/)
11:04:43	965/965	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Feb%202019%2009:08:56%20GMT	http://cdn.shopify.com/s/files/1/1413/8964/t/2/assets/logo.png?11551716603812328910	C:/Users/m.nageh/Desktop/Lamp/l/cdn.shopify.com/s/files/1/1413/8964/t/2/assets/logob457.png	(from https://ap-cogen.myshopify.com/)
11:04:46	95957/95957	---M-Z	200	added ('OK')	application/javascript	etag:W/%22553fb36a-176d5%22	http://code.jquery.com/jquery-1.11.3.min.js	C:/Users/m.nageh/Desktop/Lamp/l/code.jquery.com/jquery-1.11.3.min.js	(from https://ap-cogen.myshopify.com/)
11:04:50	6063/6063	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:14%20GMT	http://cdn.shopify.com/s/assets/themes_support/api.jquery-e94e010e92e659b566dbc436fdfe5242764380e00398907a14955ba301a4749f.js	C:/Users/m.nageh/Desktop/Lamp/l/cdn.shopify.com/s/assets/themes_support/api.jquery-e94e010e92e659b566dbc436fdfe5242764380e00398907a14955ba301a4749f.js	(from https://ap-cogen.myshopify.com/)
11:04:50	9611/9611	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:14%20GMT	http://cdn.shopify.com/s/assets/themes_support/option_selection-fe6b72c2bbdd3369ac0bfefe8648e3c889efca213baefd4cfb0dd9363563831f.js	C:/Users/m.nageh/Desktop/Lamp/l/cdn.shopify.com/s/assets/themes_support/option_selection-fe6b72c2bbdd3369ac0bfefe8648e3c889efca213baefd4cfb0dd9363563831f.js	(from https://ap-cogen.myshopify.com/)
11:04:51	30895/30895	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202017%2009:19:27%20GMT	http://cdn.shopify.com/s/files/1/1413/8964/t/2/assets/global.js?11551716603812328910	C:/Users/m.nageh/Desktop/Lamp/l/cdn.shopify.com/s/files/1/1413/8964/t/2/assets/globalb457.js	(from https://ap-cogen.myshopify.com/)
11:04:52	0/0	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202016%2008:43:30%20GMT	http://cdn.shopify.com/s/files/1/1413/8964/t/2/assets/load-page-product.js?11551716603812328910	C:/Users/m.nageh/Desktop/Lamp/l/cdn.shopify.com/s/files/1/1413/8964/t/2/assets/load-page-productb457.js	(from https://ap-cogen.myshopify.com/)
11:04:56	111747/111747	---MCZ	200	added ('OK')	text/html	etag:cacheable:5a18abb64e642384ecf9c322d11ffdcc	https://ap-cogen.myshopify.com/pages/wishlist	C:/Users/m.nageh/Desktop/Lamp/l/ap-cogen.myshopify.com/pages/wishlist.html	(from https://ap-cogen.myshopify.com/)
11:04:56	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	C:/Users/m.nageh/Desktop/Lamp/l/maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	(from https://ap-cogen.myshopify.com/)
